"name","community","published_date","researcher","available_at","research_report_title","keyword_1","keyword_2","keyword_3","Id"
"RR 398","35",40269,"GHD Ltd","www.nzta.govt.nz/resources/research/reports/398","Utilisation of the kerbside through-lane at signalised intersections","Auckland","auxiliary lane","congestion",123
"RR 422","36",40483,"Abley Transportation Consultants and Douglass Consulting Services","www.nzta.govt.nz/resources/research/reports/422","Integrated transport assessment guidelines","assessment","best practice","development",124
"RR 424","37",40452,"Opus Central Laboratories","www.nzta.govt.nz/resources/research/reports/424","Design moisture condition guidelines for pavement design and material assessment","chipseal","moisture","pavement failure",125
"RR 429","7",40544,"Pavespec limited","www.nzta.govt.nz/resources/research/reports/429","Development of a basecourse/sub-base design criterion","aggregates","basecourse","deformation",126
"RR 435","38",40544,"Capital Research / Pinnacle Research & Policy Ltd","www.nzta.govt.nz/resources/research/reports/435","Walking and cycling: improving combined use of physical activity/health and transport data","active transport","cycling","health benefits",127
"RR 445","39",40725,"Fulton Hogan Ltd","www.nzta.govt.nz/resources/research/reports/445","Investigating the contribution of sealing chip application rates to the early failure of chipseals","aggregate loss","application","binder",128
"RR 453","13",40817,"Douglass Consulting Services, Abley Transportation Consultants Ltd","www.nzta.govt.nz/resources/research/reports/453","Trips and parking related to land use","city centre","database","design hour",129
"RR 467","10",40878,"Abley Transportation Consultants Ltd","www.nzta.govt.nz/resources/research/reports/467","National travel profiles part B: trips, trends and travel prediction","household travel","school travel","segments",130
"RR 496","9",41153,"Malcolm Douglass
John Dryden","www.nzta.govt.nz/resources/research/reports/496","Transport corridors and community structures","assessments","community","corridors",131
"RR 508","2",41365,"Opus International Consultants
NZ Transport Agency","www.nzta.govt.nz/resources/research/reports/508","Improvement of the performance of hotmix asphalt surfacings in New Zealand","age","failure","life",132
"RR 510","40",41244,"TES Ltd","www.nzta.govt.nz/resources/research/reports/510","Evaluation of the C-roundabout – an improved multi-lane roundabout design for cyclists","C-roundabout","cyclist","multi-lane roundabout",133
"RR 512","4",41334,"Abley Transportation Consultants Ltd (NZ) 
Derek Halden Consultancy Ltd (Scotland, UK)
","www.nzta.govt.nz/resources/research/reports/512","The New Zealand accessibility analysis methodology","accessibility","cycling","GIS",134
"RR 515","6",41365,"University of Auckland","www.nzta.govt.nz/resources/research/reports/515","The effect of rainfall and contaminants on road pavement skid resistance","aggregate polishing","contaminants","macrotexture",135
"RR 536","41",41548,"Opus International Consultants Ltd
Delta-V Experts, Australia","www.nzta.govt.nz/resources/research/reports/536","Optimising expenditure on roadside safety barriers","barrier","computer simulation","corrosion",136
"RR 537","4",41609,"Sinclair Knight Merz Limited","www.nzta.govt.nz/resources/research/reports/537","Improving the cost-benefit analysis of integrated PT, walking and cycling","Access","active travel","cost-benefit analysis",137
"RR 54B","18",1996,"Works Consultancy Services","www.nzta.govt.nz/resources/research/reports/54B","National traffic database - quality plan","Database","national","National Traffic Database",138
"RR 55","3",1996,"TH Jenkins and Associates","www.nzta.govt.nz/resources/research/reports/55","A model to predict logging traffic and associated pavement loading from New Zealand forests","Construction","economics","EDA",139
"RR 551","42",41791,"Ian Wallis Associates Ltd","www.nzta.govt.nz/resources/research/reports/551","Car passenger valuations of quantity and quality of time savings","car driver","car passenger","contingent valuation",140
"RR 572","43",42248,"Opus International Consultants Ltd","www.nzta.govt.nz/resources/research/reports/572","Detailed customer requirements of travel information services, and the effectiveness of current channels","best practice","information channels","commercial travel information needs",141
"RR 581","17",42339,"Opus Research, Opus International Consultants Ltd","www.nzta.govt.nz/resources/research/reports/581","The role public transport can play in Safer Journeys and, in particular, to advance the safe system approach","accident","bus","ferry",142
"RR 585","44",42430,"MWH New Zealand Ltd","www.nzta.govt.nz/resources/research/reports/585","Risk assessment of road stormwater run-off","case study","coast","contaminants",143
"RR 586","45",42430,"NZIER","www.nzta.govt.nz/resources/research/reports/586","Regionalisation of the National Land Transport Demand model","demand","freight","household travel",144
"RR 603","3",42887,"NZ Transport Agency","www.nzta.govt.nz/resources/research/reports/603","The relationship between vehicle axle loadings and pavement wear on local roads","accelerated pavement testing (APT)","CAPTIF","loading",145
"RR 608","46",42767,"ECPC Limited
Infometrics Consulting Ltd
Institute for Transport Studies, University of Leeds
Richard Paling Consulting Ltd","www.nzta.govt.nz/resources/research/reports/608","The economic impacts of connectivity","agglomeration","computable general equilibrium (CGE) model","gross value added (GVA)",146
"RR 622","15",42948,"Opus International Consultants Ltd","www.nzta.govt.nz/resources/research/reports/622","Best practice guide for pavement stabilisation","Aggregate","bound","cement",147
